SKU_A,SKU_B,Pearson_r,dominant_lag,is_lead_lag,community_A,community_B,lag_label,community_A_label,community_B_label,r_pct
XS3M7502TY,SRPEC60X90TY,0.83,0,0,1,1,Contemporaneous,Community 2,Community 2,83.0
JYR-2004N,MRSR-1060NJTL,0.8959,0,0,7,7,Contemporaneous,Community 8,Community 8,89.6
JYR-2004N,SRPM60X90,0.7826,0,0,7,7,Contemporaneous,Community 8,Community 8,78.3
MOM2700,UVSVP400,0.8839,0,0,5,5,Contemporaneous,Community 6,Community 6,88.4
MOM2700,ME9683M,0.8046,0,0,5,5,Contemporaneous,Community 6,Community 6,80.5
UVSVP400,ME9683M,0.8575,0,0,5,5,Contemporaneous,Community 6,Community 6,85.8
UVSVP400,JYG37510,0.825,0,0,5,4,Contemporaneous,Community 6,Community 5,82.5
ME9683M,JYG37510,0.8196,0,0,5,4,Contemporaneous,Community 6,Community 5,82.0
AN48-129T10,AN48-129T7,0.8808,0,0,10,10,Contemporaneous,Community 11,Community 11,88.1
SRCRC12,SRCRCL,0.8291,0,0,6,6,Contemporaneous,Community 7,Community 7,82.9
SRESM60V,3M6200,0.7785,0,0,0,0,Contemporaneous,Community 1,Community 1,77.8
JYR-1521M,SACFCB02,0.8081,0,0,2,2,Contemporaneous,Community 3,Community 3,80.8
JYR-1521M,JYR-2004AZ,0.7799,0,0,2,2,Contemporaneous,Community 3,Community 3,78.0
SFT601,XS3M5N11,0.8088,0,0,11,11,Contemporaneous,Community 12,Community 12,80.9
SACFCB02,DUNB127SXL,0.7625,0,0,2,2,Contemporaneous,Community 3,Community 3,76.2
SPS3960HS,AN37-175T10,0.7558,0,0,3,3,Contemporaneous,Community 4,Community 4,75.6
3M501,AN11-250,0.7801,0,0,8,8,Contemporaneous,Community 9,Community 9,78.0
AN11-250,SPS700HS,0.7692,0,0,8,8,Contemporaneous,Community 9,Community 9,76.9
