SKU_A,SKU_B,lag,Pearson_r,pair
ME6632L,PIP33-BLK125BPS,-2,0.3044,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,-1,-0.3054,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,0,0.9622,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,1,0.0019,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,2,-0.1934,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,3,-0.2149,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,4,-0.3148,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,5,0.051,ME6632L ↔ PIP33-BLK125BPS
ME6632L,PIP33-BLK125BPS,6,0.0789,ME6632L ↔ PIP33-BLK125BPS
MESX9667L,SFPUG09VMT,-6,0.1736,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,-5,0.1604,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,-4,-0.1954,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,-3,0.03,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,-2,-0.0957,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,-1,0.2004,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,0,0.9607,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,1,-0.0379,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,2,-0.0234,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,3,-0.0526,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,4,-0.0587,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,5,0.1505,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG09VMT,6,0.0987,MESX9667L ↔ SFPUG09VMT
MESX9667L,SFPUG111VMT,-6,0.1447,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,-5,0.1896,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,-4,-0.1935,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,-3,0.0324,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,-2,-0.0882,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,-1,0.1765,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,0,0.9552,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,1,-0.0849,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,2,-0.0077,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,3,-0.0957,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,4,-0.0749,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,5,0.0686,MESX9667L ↔ SFPUG111VMT
MESX9667L,SFPUG111VMT,6,0.0865,MESX9667L ↔ SFPUG111VMT
AE82501,SFGG805PFL,-6,0.0645,AE82501 ↔ SFGG805PFL
